Sex,AgeClass,WeightClassKg,Equipment,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,IPFPoints,weight_bin
M,24-34,82.5,Wraps,180.0,120.0,205.0,499.63,75–90
M,24-34,82.5,Wraps,177.5,130.0,192.5,486.08,75–90
M,24-34,82.5,Wraps,180.0,110.0,200.0,487.56,75–90
M,70-74,82.5,Wraps,127.5,85.5,140.0,322.83,75–90
M,24-34,90.0,Wraps,270.0,172.5,257.5,674.23,75–90
M,24-34,90.0,Wraps,250.0,155.0,275.0,651.6,75–90
M,24-34,90.0,Wraps,265.0,142.5,265.0,648.67,75–90
M,20-23,90.0,Wraps,250.0,160.0,260.0,651.51,75–90
M,20-23,90.0,Wraps,200.0,102.5,215.0,493.29,75–90
M,65-69,90.0,Wraps,160.0,95.0,190.0,420.13,75–90
M,20-23,100.0,Wraps,285.0,170.0,285.0,671.97,90–105
M,24-34,100.0,Wraps,245.0,152.5,292.5,629.11,90–105
M,24-34,100.0,Wraps,252.5,170.0,267.5,619.7,90–105
M,24-34,100.0,Wraps,220.0,150.0,270.0,579.83,90–105
M,20-23,100.0,Wraps,235.0,160.0,240.0,564.96,90–105
M,16-17,100.0,Wraps,255.0,145.0,230.0,594.43,90–105
M,20-23,100.0,Wraps,225.0,122.5,232.5,508.69,90–105
M,45-49,100.0,Wraps,160.0,155.0,230.0,493.08,90–105
M,35-39,110.0,Wraps,310.0,205.0,320.0,728.27,105–120
M,24-34,110.0,Wraps,282.5,185.0,315.0,674.65,105–120
M,40-44,110.0,Wraps,300.0,180.0,300.0,682.61,105–120
M,20-23,110.0,Wraps,290.0,170.0,272.5,628.82,105–120
M,24-34,110.0,Wraps,270.0,155.0,280.0,621.27,105–120
M,24-34,110.0,Wraps,250.0,165.0,285.0,599.6,105–120
M,13-15,110.0,Wraps,140.0,75.0,162.5,283.22,105–120
M,24-34,125.0,Wraps,300.0,200.0,310.0,655.88,120+
M,20-23,125.0,Wraps,320.0,170.0,300.0,673.31,120+
M,35-39,125.0,Wraps,287.5,177.5,300.0,626.22,120+
M,24-34,125.0,Wraps,245.0,155.0,275.0,542.21,120+
M,24-34,125.0,Wraps,250.0,155.0,265.0,535.91,120+
M,24-34,125.0,Wraps,250.0,150.0,250.0,521.37,120+
M,24-34,125.0,Wraps,242.5,120.0,275.0,499.57,120+
M,35-39,125.0,Wraps,250.0,125.0,260.0,496.59,120+
M,24-34,125.0,Wraps,225.0,152.5,242.5,489.84,120+
M,24-34,125.0,Wraps,200.0,155.0,230.0,468.96,120+
M,24-34,125.0,Wraps,300.0,180.0,75.0,422.67,120+
M,35-39,140.0,Wraps,270.0,150.0,280.0,533.8,120+
M,35-39,140.0,Wraps,250.0,155.0,240.0,499.71,120+
F,24-34,52.0,Wraps,80.0,47.5,107.5,451.13,<60
F,24-34,56.0,Wraps,157.5,85.0,185.0,792.64,<60
F,24-34,56.0,Wraps,137.5,67.5,155.0,661.64,<60
F,24-34,56.0,Wraps,140.0,62.5,135.0,619.34,<60
F,45-49,60.0,Wraps,137.5,72.5,162.5,661.67,<60
F,20-23,60.0,Wraps,132.5,60.0,170.0,654.42,<60
F,24-34,67.5,Wraps,150.0,62.5,155.0,626.3,60–75
F,40-44,67.5,Wraps,120.0,60.0,142.5,541.72,60–75
F,40-44,67.5,Wraps,125.0,65.0,125.0,530.79,60–75
F,24-34,67.5,Wraps,80.0,62.5,115.0,430.3,60–75
F,20-23,67.5,Wraps,75.0,50.0,100.0,381.54,60–75
F,24-34,75.0,Wraps,165.0,87.5,177.5,689.59,60–75
F,35-39,75.0,Wraps,145.0,62.5,160.0,592.13,60–75
F,35-39,75.0,Wraps,145.0,75.0,140.0,582.69,60–75
F,24-34,75.0,Wraps,140.0,55.0,140.0,536.66,60–75
F,24-34,75.0,Wraps,117.5,57.5,145.0,515.8,60–75
F,24-34,75.0,Wraps,120.0,57.5,140.0,512.46,60–75
F,24-34,75.0,Wraps,110.0,65.0,140.0,520.72,60–75
F,60-64,75.0,Wraps,95.0,47.5,150.0,471.21,60–75
F,24-34,82.5,Wraps,150.0,72.5,170.0,606.65,75–90
F,24-34,82.5,Wraps,125.0,70.0,160.0,566.45,75–90
F,24-34,82.5,Wraps,130.0,62.5,145.0,521.4,75–90
F,20-23,82.5,Wraps,120.0,72.5,142.5,520.05,75–90
F,24-34,82.5,Wraps,100.0,60.0,130.0,455.27,75–90
F,24-34,90.0,Wraps,145.0,65.0,157.5,552.11,75–90
F,40-44,90.0,Wraps,140.0,55.0,160.0,534.11,75–90
F,40-44,90.0,Wraps,135.0,65.0,155.0,529.93,75–90
F,40-44,110.0,Wraps,165.0,80.0,175.0,595.06,105–120
F,24-34,110.0,Wraps,170.0,82.5,165.0,577.04,105–120
F,13-15,110.0,Wraps,125.0,62.5,127.5,446.39,105–120
F,24-34,67.5,Wraps,155.0,95.0,172.5,713.35,60–75
F,35-39,90.0,Wraps,135.0,80.0,152.5,550.32,75–90
M,45-49,100.0,Wraps,135.0,70.0,165.0,311.58,90–105
M,40-44,125.0,Wraps,227.5,160.0,270.0,542.26,120+
M,24-34,110.0,Wraps,220.0,120.0,260.0,516.25,105–120
M,24-34,100.0,Wraps,185.0,130.0,227.5,489.36,90–105
F,40-44,110.0,Wraps,150.0,80.0,155.0,565.08,105–120
F,24-34,82.5,Wraps,157.5,92.5,185.0,677.58,75–90
M,35-39,82.5,Wraps,147.5,120.0,200.0,448.38,75–90
F,24-34,90.0,Wraps,162.5,77.5,150.0,581.23,75–90
M,24-34,100.0,Wraps,340.0,165.0,320.0,799.8,90–105
F,13-15,110.0,Wraps,100.0,45.0,117.5,389.49,105–120
M,24-34,100.0,Wraps,280.0,187.5,260.0,671.54,90–105
M,24-34,110.0,Wraps,225.0,172.5,240.0,545.68,105–120
M,40-44,110.0,Wraps,250.0,175.0,250.0,576.91,105–120
M,20-23,110.0,Wraps,227.5,160.0,232.5,528.38,105–120
M,20-23,110.0,Wraps,222.5,137.5,272.5,529.39,105–120
M,24-34,90.0,Wraps,180.0,95.0,225.0,466.91,75–90
F,35-39,67.5,Wraps,80.0,50.0,112.5,409.21,60–75
F,24-34,110.0,Wraps,130.0,70.0,125.0,477.28,105–120
M,16-17,100.0,Wraps,190.0,122.5,200.0,442.82,90–105
M,35-39,82.5,Wraps,225.0,150.0,255.0,634.23,75–90
M,24-34,100.0,Wraps,262.5,150.0,210.0,588.69,90–105
F,24-34,67.5,Wraps,160.0,100.0,180.0,756.51,60–75
F,24-34,60.0,Wraps,120.0,67.5,135.0,571.34,<60
M,24-34,110.0,Wraps,245.0,167.5,265.0,586.57,105–120
F,24-34,60.0,Wraps,130.0,70.0,135.0,594.83,<60
F,24-34,110.0,Wraps,187.5,77.5,190.0,647.89,105–120
F,20-23,56.0,Wraps,105.0,42.5,132.5,514.07,<60
F,24-34,75.0,Wraps,155.0,65.0,150.0,604.42,60–75
F,24-34,60.0,Wraps,135.0,55.0,140.0,584.67,<60
F,24-34,60.0,Wraps,120.0,70.0,150.0,605.54,<60
F,24-34,48.0,Wraps,85.0,45.0,92.5,429.8,<60
F,20-23,75.0,Wraps,140.0,65.0,152.5,577.27,60–75
F,24-34,60.0,Wraps,85.0,42.5,132.5,456.69,<60
F,24-34,60.0,Wraps,115.0,60.0,140.0,569.28,<60
F,24-34,56.0,Wraps,120.0,57.5,150.0,605.46,<60
F,24-34,60.0,Wraps,127.5,85.0,150.0,643.86,<60
F,45-49,56.0,Wraps,137.5,72.5,165.0,694.38,<60
F,24-34,67.5,Wraps,132.5,55.0,160.0,585.37,60–75
F,40-44,75.0,Wraps,180.0,100.0,185.0,750.45,60–75
F,55-59,82.5,Wraps,110.0,50.0,117.5,431.37,75–90
F,35-39,52.0,Wraps,107.5,57.5,140.0,580.14,<60
F,40-44,60.0,Wraps,130.0,60.0,145.0,599.3,<60
F,24-34,75.0,Wraps,130.0,55.0,120.0,498.44,60–75
F,24-34,110.0,Wraps,150.0,90.0,170.0,577.28,105–120
F,24-34,82.5,Wraps,175.0,70.0,185.0,662.48,75–90
F,24-34,67.5,Wraps,117.5,65.0,135.0,548.51,60–75
F,40-44,90.0,Wraps,125.0,62.5,150.0,509.0,75–90
F,24-34,52.0,Wraps,95.0,60.0,122.5,540.71,<60
F,24-34,110.0,Wraps,150.0,92.5,172.5,576.31,105–120
F,40-44,56.0,Wraps,140.0,57.5,152.5,648.56,<60
F,24-34,60.0,Wraps,122.5,57.5,125.0,541.3,<60
F,24-34,75.0,Wraps,115.0,55.0,120.0,467.91,60–75
F,24-34,60.0,Wraps,125.0,65.0,130.0,569.05,<60
F,40-44,90.0,Wraps,170.0,95.0,165.0,639.07,75–90
